age,job,marital,education,balance,housing,loan,month,campaign,previous
52.0,blue-collar,divorced,primary,-191.0,yes,no,may,1.0,0.0
59.0,blue-collar,married,primary,320.0,yes,no,may,1.0,0.0
44.0,blue-collar,married,unknown,146.0,yes,no,may,1.0,0.0
49.0,unknown,married,primary,341.0,yes,yes,may,2.0,0.0
40.0,services,married,primary,-9.0,yes,no,may,2.0,0.0
41.0,admin.,married,primary,-306.0,yes,no,may,1.0,0.0
44.0,technician,married,tertiary,4580.0,yes,no,may,2.0,0.0
60.0,services,single,primary,313.0,yes,no,may,2.0,0.0
29.0,management,married,tertiary,10576.0,no,no,may,2.0,0.0
41.0,retired,divorced,primary,-233.0,yes,no,may,2.0,0.0
41.0,blue-collar,married,primary,2453.0,yes,no,may,1.0,0.0
42.0,technician,single,secondary,1364.0,yes,no,may,6.0,0.0
36.0,services,single,unknown,281.0,yes,no,may,1.0,0.0
39.0,technician,married,tertiary,94.0,yes,yes,may,1.0,0.0
31.0,self-employed,single,tertiary,144.0,yes,no,may,1.0,0.0
26.0,blue-collar,married,secondary,246.0,yes,no,may,3.0,0.0
31.0,blue-collar,married,secondary,92.0,yes,no,may,1.0,0.0
29.0,admin.,single,secondary,163.0,yes,yes,may,1.0,0.0
37.0,services,divorced,secondary,49.0,yes,no,may,2.0,0.0
33.0,blue-collar,single,secondary,-416.0,yes,no,may,2.0,0.0
24.0,technician,single,secondary,409.0,yes,no,may,1.0,0.0
50.0,admin.,divorced,secondary,363.0,yes,no,may,1.0,0.0
27.0,technician,single,tertiary,3706.0,yes,no,may,1.0,0.0
54.0,management,single,tertiary,4393.0,yes,no,may,3.0,0.0
30.0,technician,single,secondary,863.0,yes,no,may,5.0,0.0
34.0,blue-collar,married,primary,695.0,yes,yes,may,4.0,0.0
37.0,management,single,secondary,792.0,yes,no,may,4.0,0.0
41.0,admin.,single,secondary,1020.0,yes,no,may,1.0,0.0
47.0,blue-collar,married,secondary,863.0,yes,no,may,2.0,0.0
31.0,admin.,married,secondary,97.0,yes,no,may,1.0,0.0
31.0,blue-collar,married,secondary,754.0,yes,no,may,4.0,0.0
43.0,services,divorced,secondary,1040.0,yes,no,may,3.0,0.0
37.0,management,divorced,tertiary,122.0,yes,no,may,2.0,0.0
30.0,technician,single,tertiary,880.0,yes,yes,may,6.0,0.0
41.0,technician,married,secondary,501.0,yes,no,may,5.0,0.0
36.0,blue-collar,married,secondary,4438.0,yes,no,may,1.0,0.0
35.0,blue-collar,divorced,secondary,0.0,yes,no,may,1.0,0.0
29.0,services,single,secondary,271.0,yes,no,may,2.0,0.0
35.0,blue-collar,married,primary,102.0,yes,no,may,1.0,0.0
31.0,blue-collar,married,secondary,2.0,yes,no,may,2.0,0.0
35.0,services,married,secondary,4170.0,yes,no,may,1.0,0.0
34.0,technician,single,secondary,85.0,yes,no,may,4.0,0.0
31.0,admin.,single,secondary,431.0,yes,yes,may,1.0,0.0
44.0,technician,divorced,secondary,982.0,yes,no,may,3.0,0.0
36.0,blue-collar,married,primary,408.0,yes,yes,may,2.0,0.0
35.0,blue-collar,married,unknown,4822.0,yes,no,may,2.0,0.0
41.0,blue-collar,married,primary,1250.0,yes,no,may,2.0,0.0
31.0,blue-collar,single,primary,216.0,yes,no,may,1.0,0.0
34.0,blue-collar,married,secondary,1207.0,yes,no,may,1.0,0.0
32.0,technician,married,secondary,791.0,yes,no,may,2.0,0.0
36.0,management,married,tertiary,849.0,yes,yes,may,2.0,0.0
30.0,blue-collar,single,secondary,239.0,yes,no,may,1.0,0.0
37.0,technician,single,secondary,1211.0,yes,no,may,1.0,0.0
36.0,blue-collar,married,primary,599.0,yes,no,may,2.0,0.0
31.0,management,single,tertiary,825.0,yes,no,may,2.0,0.0
27.0,technician,married,secondary,2183.0,yes,yes,may,1.0,0.0
34.0,retired,married,primary,4499.0,no,no,may,1.0,0.0
30.0,technician,single,tertiary,1289.0,yes,no,may,2.0,0.0
32.0,technician,single,tertiary,4665.0,yes,no,may,2.0,0.0
37.0,technician,single,secondary,3326.0,yes,no,may,1.0,0.0
32.0,blue-collar,married,secondary,783.0,yes,no,may,3.0,0.0
33.0,blue-collar,married,secondary,0.0,yes,no,may,3.0,0.0
35.0,blue-collar,married,primary,994.0,yes,no,may,8.0,0.0
35.0,self-employed,divorced,tertiary,1354.0,yes,no,may,2.0,0.0
30.0,blue-collar,single,secondary,239.0,yes,no,may,1.0,0.0
45.0,blue-collar,divorced,primary,-311.0,yes,no,may,1.0,0.0
45.0,admin.,married,secondary,149.0,yes,no,may,3.0,0.0
33.0,blue-collar,married,secondary,1464.0,yes,no,may,3.0,0.0
44.0,management,divorced,tertiary,5773.0,no,no,may,6.0,0.0
40.0,blue-collar,married,primary,278.0,yes,no,may,3.0,0.0
31.0,blue-collar,married,secondary,2910.0,yes,no,may,2.0,0.0
30.0,technician,married,tertiary,541.0,yes,no,may,2.0,0.0
44.0,technician,divorced,secondary,1262.0,yes,no,may,10.674652974835883,0.0
34.0,services,married,secondary,-538.0,yes,no,may,1.0,0.0
37.0,blue-collar,married,secondary,125.0,no,no,may,2.0,0.0
28.0,self-employed,single,tertiary,0.0,yes,no,may,2.0,0.0
32.0,admin.,single,secondary,620.0,yes,no,may,3.0,0.0
37.0,blue-collar,divorced,secondary,316.0,yes,no,may,2.0,0.0
34.0,management,married,tertiary,2287.0,yes,no,may,4.0,0.0
38.0,admin.,divorced,secondary,198.0,yes,no,may,2.0,0.0
28.0,admin.,single,secondary,460.0,yes,no,may,6.0,0.0
31.0,management,divorced,tertiary,1145.0,yes,no,may,4.0,0.0
59.0,services,married,secondary,-22.0,yes,no,may,3.0,0.0
24.0,blue-collar,married,secondary,685.0,yes,no,may,3.0,0.0
26.0,services,single,secondary,901.0,yes,no,may,2.0,0.0
59.0,retired,single,secondary,351.0,yes,no,may,5.0,0.0
30.0,entrepreneur,single,primary,0.0,yes,yes,may,1.0,0.0
37.0,admin.,married,secondary,274.0,yes,no,may,3.0,0.0
30.0,admin.,single,secondary,-213.0,yes,yes,may,1.0,0.0
25.0,blue-collar,married,secondary,97.0,yes,no,may,1.0,0.0
44.0,services,divorced,secondary,51.0,yes,yes,may,2.0,0.0
29.0,management,married,tertiary,314.0,no,no,may,2.0,0.0
26.0,management,single,tertiary,6840.0,yes,no,may,2.0,0.0
26.0,technician,single,secondary,668.0,yes,no,may,3.0,0.0
27.0,services,single,secondary,54.0,yes,no,may,2.0,0.0
25.0,self-employed,single,secondary,1242.0,yes,no,may,2.0,0.0
28.0,management,married,secondary,292.0,yes,no,may,1.0,0.0
23.0,services,single,secondary,665.0,yes,no,may,1.0,0.0
34.0,management,single,tertiary,1058.0,yes,no,may,2.0,0.0
28.0,student,single,secondary,949.0,yes,no,may,1.0,0.0
51.0,entrepreneur,married,unknown,606.0,yes,no,may,9.0,0.0
35.0,blue-collar,married,secondary,0.0,yes,yes,may,1.0,0.0
35.0,admin.,married,secondary,404.0,yes,no,may,1.0,0.0
56.0,blue-collar,married,secondary,249.0,yes,no,may,2.0,0.0
45.0,unemployed,divorced,secondary,3354.0,yes,no,may,1.0,0.0
60.0,blue-collar,divorced,secondary,0.0,yes,no,may,1.0,0.0
56.0,technician,married,secondary,589.0,yes,no,may,2.0,0.0
27.0,management,single,tertiary,11204.778501400662,yes,no,may,3.0,0.0
30.0,admin.,married,secondary,873.0,yes,no,may,3.0,0.0
45.0,blue-collar,divorced,primary,594.0,yes,no,may,2.0,0.0
29.0,blue-collar,single,secondary,-20.0,yes,no,may,2.0,0.0
38.0,management,divorced,tertiary,4692.0,yes,no,may,2.0,0.0
30.0,blue-collar,married,secondary,486.0,yes,no,may,3.0,0.0
44.0,blue-collar,single,primary,1593.0,yes,no,may,3.0,0.0
36.0,management,single,tertiary,7606.0,yes,no,may,1.0,0.0
38.0,technician,married,secondary,226.0,yes,no,may,3.0,0.0
36.0,blue-collar,single,secondary,366.0,yes,yes,may,2.0,0.0
37.0,management,divorced,secondary,16.0,yes,no,may,1.0,0.0
35.0,management,single,tertiary,565.0,yes,no,may,1.0,0.0
38.0,admin.,divorced,secondary,19.0,yes,no,may,2.0,0.0
40.0,services,married,primary,1082.0,yes,no,may,2.0,0.0
42.0,unemployed,divorced,secondary,1713.0,yes,no,may,2.0,0.0
46.0,management,divorced,tertiary,11204.778501400662,yes,no,may,1.0,0.0
35.0,technician,divorced,secondary,5724.0,yes,no,may,10.0,0.0
34.0,technician,divorced,secondary,1451.0,yes,no,may,10.674652974835883,0.0
32.0,services,married,secondary,-34.0,yes,no,may,2.0,0.0
50.0,unemployed,married,secondary,3674.0,yes,no,may,3.0,0.0
35.0,blue-collar,married,secondary,698.0,yes,yes,may,3.0,0.0
36.0,technician,single,secondary,4136.0,yes,no,may,3.0,0.0
53.0,blue-collar,divorced,primary,2656.0,yes,no,may,2.0,0.0
46.0,management,single,tertiary,2904.0,yes,no,may,2.0,0.0
26.0,management,single,tertiary,1004.0,yes,no,may,2.0,0.0
45.0,technician,single,secondary,410.0,yes,no,may,4.0,0.0
31.0,unemployed,divorced,primary,0.0,yes,no,may,10.674652974835883,0.0
29.0,management,single,tertiary,0.0,yes,no,may,10.674652974835883,0.0
53.0,entrepreneur,single,secondary,62.0,yes,no,may,5.0,0.0
27.0,blue-collar,married,primary,416.0,yes,no,may,2.0,0.0
39.0,management,married,tertiary,2763.0,yes,no,jun,2.0,0.0
36.0,services,married,secondary,2984.0,yes,no,jun,1.0,0.0
41.0,blue-collar,married,primary,143.0,yes,yes,jun,2.0,0.0
36.0,services,married,primary,0.0,yes,no,jun,1.0,0.0
32.0,technician,married,secondary,696.0,yes,no,jun,1.0,0.0
35.0,services,married,secondary,152.0,yes,no,jun,1.0,0.0
36.0,management,single,tertiary,-78.0,yes,no,jun,1.0,0.0
35.0,management,married,tertiary,867.0,yes,no,jun,3.0,0.0
30.0,blue-collar,single,secondary,953.0,yes,no,jun,2.0,0.0
42.0,blue-collar,married,secondary,443.0,yes,no,jun,5.0,0.0
42.0,technician,single,secondary,-1129.0,yes,no,jun,5.0,0.0
32.0,blue-collar,married,primary,415.0,yes,no,jun,4.0,0.0
29.0,blue-collar,single,secondary,260.0,yes,no,jun,10.674652974835883,0.0
44.0,management,divorced,tertiary,-411.0,yes,no,jun,4.0,0.0
32.0,technician,single,secondary,1279.0,yes,no,jun,3.0,0.0
31.0,unemployed,married,secondary,86.0,yes,yes,jun,2.0,0.0
40.0,self-employed,married,secondary,-754.0,yes,yes,jun,3.0,0.0
43.0,entrepreneur,married,secondary,0.0,no,no,jun,7.0,0.0
27.0,management,single,secondary,178.0,yes,no,jun,2.0,0.0
37.0,services,single,secondary,278.0,yes,no,jun,3.0,0.0
23.0,services,single,secondary,425.0,yes,no,jun,1.0,0.0
25.0,management,married,primary,168.0,yes,no,jun,1.0,0.0
26.0,blue-collar,single,secondary,-36.0,yes,no,jun,2.0,0.0
47.0,blue-collar,divorced,primary,126.0,yes,no,jun,2.0,0.0
35.0,admin.,married,secondary,-87.0,yes,no,jun,7.0,0.0
32.0,technician,single,tertiary,6281.0,yes,no,jun,4.0,0.0
45.0,management,divorced,secondary,644.0,yes,no,jun,1.0,0.0
30.0,admin.,divorced,secondary,377.0,yes,no,jun,10.674652974835883,0.0
29.0,services,single,secondary,-271.0,yes,no,jun,1.0,0.0
38.0,blue-collar,married,primary,5839.0,yes,no,jun,2.0,0.0
23.0,blue-collar,single,secondary,492.0,yes,no,jun,1.0,0.0
27.0,management,single,tertiary,99.0,yes,no,jun,2.0,0.0
27.0,management,single,tertiary,-713.0,yes,no,jun,2.0,0.0
29.0,services,single,secondary,32.0,yes,no,jun,1.0,0.0
30.0,self-employed,married,tertiary,543.0,yes,yes,jun,6.0,0.0
36.0,blue-collar,married,primary,403.0,yes,no,jun,1.0,0.0
35.0,admin.,divorced,secondary,437.0,yes,no,jun,1.0,0.0
36.0,blue-collar,married,secondary,1772.0,no,no,jun,1.0,0.0
59.0,retired,divorced,primary,-88.0,yes,no,jun,2.0,0.0
47.0,entrepreneur,married,secondary,0.0,no,no,jun,1.0,0.0
58.0,entrepreneur,married,tertiary,853.0,no,no,jun,2.0,0.0
37.0,management,single,tertiary,240.0,no,no,jun,1.0,0.0
46.0,admin.,single,secondary,849.0,yes,no,jun,2.0,0.0
43.0,blue-collar,single,secondary,318.0,yes,no,jun,2.0,0.0
27.0,management,single,tertiary,703.0,yes,no,jun,3.0,0.0
38.0,services,divorced,secondary,61.0,no,no,jun,1.0,0.0
53.0,housemaid,married,primary,104.0,no,yes,jun,1.0,0.0
47.0,blue-collar,married,secondary,1996.0,no,no,jun,2.0,0.0
56.0,housemaid,divorced,primary,1238.0,no,no,jun,1.0,0.0
41.0,housemaid,married,secondary,879.0,no,no,jun,2.0,0.0
29.0,self-employed,married,secondary,425.0,yes,no,jun,10.674652974835883,0.0
50.0,technician,married,secondary,416.0,yes,no,jun,5.0,0.0
45.0,blue-collar,divorced,primary,844.0,no,no,jun,3.0,0.0
35.0,blue-collar,married,secondary,860.0,yes,no,jun,4.0,0.0
26.0,technician,single,secondary,639.0,yes,no,jun,5.0,0.0
26.0,admin.,married,secondary,710.0,yes,yes,jun,2.0,0.0
37.0,blue-collar,married,unknown,1508.0,no,yes,jun,2.0,0.0
30.0,admin.,single,secondary,223.0,yes,no,jun,10.674652974835883,0.0
38.0,management,single,tertiary,619.0,yes,no,jun,4.0,0.0
37.0,services,divorced,secondary,319.0,yes,no,jun,3.0,0.0
53.0,technician,married,secondary,480.0,no,no,jun,2.0,0.0
29.0,blue-collar,single,primary,213.0,yes,no,jun,3.0,0.0
35.0,management,single,tertiary,68.0,no,no,jun,1.0,0.0
28.0,blue-collar,married,secondary,2788.0,yes,no,jun,2.0,0.0
55.0,blue-collar,married,unknown,7561.0,no,no,jun,3.0,0.0
49.0,management,divorced,secondary,-46.0,yes,no,jun,10.0,0.0
50.0,services,married,secondary,1595.0,no,no,jun,1.0,0.0
43.0,management,single,tertiary,1046.0,no,no,jun,1.0,0.0
58.0,self-employed,divorced,tertiary,1382.0,no,no,jun,1.0,0.0
38.0,technician,married,primary,217.0,yes,no,jun,6.0,0.0
48.0,blue-collar,divorced,primary,183.0,no,no,jun,1.0,0.0
59.0,management,married,secondary,1321.0,no,no,jun,3.0,0.0
58.0,blue-collar,married,secondary,25.0,no,no,jun,3.0,0.0
36.0,self-employed,single,tertiary,4844.0,no,no,jun,3.0,0.0
42.0,entrepreneur,married,tertiary,5345.0,no,no,jun,3.0,0.0
41.0,admin.,single,secondary,812.0,no,yes,jun,4.0,0.0
42.0,admin.,married,secondary,105.0,no,no,jun,4.0,0.0
39.0,management,married,tertiary,-190.0,no,yes,jun,8.0,0.0
57.0,housemaid,married,primary,625.0,no,yes,jun,1.0,0.0
52.0,retired,married,unknown,293.0,no,no,jun,1.0,0.0
59.0,retired,married,unknown,1033.0,no,no,jun,1.0,0.0
56.0,blue-collar,married,secondary,1210.0,no,no,jun,1.0,0.0
49.0,management,married,tertiary,64.0,no,no,jun,1.0,0.0
35.0,blue-collar,divorced,unknown,164.0,no,no,jun,2.0,0.0
36.0,unemployed,married,secondary,1766.0,no,no,jun,2.0,0.0
40.0,admin.,single,tertiary,1248.0,no,no,jun,2.0,0.0
55.0,blue-collar,married,secondary,0.0,no,no,jun,2.0,0.0
58.0,admin.,married,secondary,826.0,no,no,jun,1.0,0.0
39.0,self-employed,married,tertiary,2630.0,no,no,jun,5.0,0.0
47.0,housemaid,single,tertiary,3727.0,no,no,jun,6.0,0.0
40.0,management,married,secondary,406.0,yes,no,jun,2.0,0.0
35.0,blue-collar,married,tertiary,2999.0,no,no,jun,6.0,0.0
48.0,blue-collar,married,secondary,1000.0,yes,no,jun,2.0,0.0
48.0,management,divorced,tertiary,503.0,no,yes,jun,7.0,0.0
24.0,blue-collar,single,secondary,-203.0,yes,no,jun,3.0,0.0
49.0,blue-collar,married,primary,361.0,yes,no,jun,2.0,0.0
36.0,blue-collar,married,secondary,274.0,yes,no,jun,10.674652974835883,0.0
52.0,retired,divorced,tertiary,3687.0,yes,yes,jun,4.0,0.0
42.0,entrepreneur,single,unknown,323.0,no,no,jun,1.0,0.0
36.0,services,married,secondary,981.0,no,no,jun,1.0,0.0
36.0,blue-collar,divorced,secondary,638.0,yes,no,jun,2.0,0.0
48.0,unemployed,single,tertiary,3229.0,no,no,jun,1.0,0.0
51.0,management,single,secondary,1610.0,yes,no,jun,3.0,0.0
51.0,blue-collar,married,secondary,33.0,no,yes,jun,3.0,0.0
46.0,technician,married,secondary,536.0,yes,no,jun,2.0,0.0
37.0,management,married,tertiary,0.0,no,no,jun,6.0,0.0
36.0,entrepreneur,married,tertiary,3057.0,no,no,jun,4.0,0.0
47.0,management,married,secondary,2892.0,no,no,jun,1.0,0.0
40.0,technician,divorced,tertiary,0.0,no,no,jun,1.0,0.0
38.0,student,single,tertiary,3316.0,no,no,jun,3.0,0.0
40.0,management,married,secondary,106.0,no,no,jun,2.0,0.0
39.0,blue-collar,married,primary,2303.0,yes,no,jun,3.0,0.0
60.0,management,married,tertiary,3301.0,no,no,jun,3.0,0.0
39.0,self-employed,single,tertiary,426.0,no,no,jun,1.0,0.0
51.0,services,divorced,secondary,9.0,no,no,jun,2.0,0.0
27.0,admin.,married,secondary,-97.0,yes,no,jun,2.0,0.0
41.0,management,single,tertiary,11008.0,no,no,jun,1.0,0.0
42.0,blue-collar,single,primary,4930.0,no,no,jun,1.0,0.0
41.0,entrepreneur,married,secondary,707.0,no,no,jun,1.0,0.0
33.0,technician,married,secondary,4.0,yes,yes,jun,2.0,0.0
46.0,admin.,married,secondary,126.0,no,no,jun,1.0,0.0
31.0,blue-collar,married,secondary,671.0,yes,no,jun,4.0,0.0
41.0,blue-collar,married,primary,219.0,no,yes,jun,3.0,0.0
41.0,blue-collar,divorced,secondary,3622.0,no,no,jun,4.0,0.0
55.0,retired,divorced,secondary,1580.0,no,yes,jun,1.0,0.0
53.0,technician,married,secondary,1319.0,no,no,jun,3.0,0.0
55.0,housemaid,married,primary,2152.0,no,no,jun,2.0,0.0
39.0,services,married,secondary,2843.0,yes,no,jun,1.0,0.0
40.0,entrepreneur,married,tertiary,0.0,no,no,jun,4.0,0.0
59.0,retired,married,primary,1115.0,no,no,jun,1.0,0.0
42.0,blue-collar,single,secondary,625.0,no,no,jun,3.0,0.0
41.0,blue-collar,married,primary,246.0,no,no,jun,3.0,0.0
27.0,blue-collar,married,secondary,61.0,yes,no,jun,1.0,0.0
25.0,blue-collar,single,secondary,-191.0,yes,no,jun,7.0,0.0
43.0,unemployed,married,primary,519.0,no,no,jun,2.0,0.0
44.0,services,married,secondary,522.0,no,yes,jun,1.0,0.0
26.0,blue-collar,single,secondary,-46.0,yes,no,jun,7.0,0.0
52.0,retired,married,tertiary,2269.0,no,no,jun,1.0,0.0
54.0,services,married,unknown,386.0,no,yes,jun,1.0,0.0
56.0,management,married,tertiary,0.0,no,yes,jun,1.0,0.0
57.0,management,married,tertiary,9103.0,no,yes,jun,2.0,0.0
29.0,blue-collar,single,secondary,908.0,yes,no,jun,1.0,0.0
47.0,technician,married,tertiary,1694.0,no,yes,jun,3.0,0.0
57.0,management,married,tertiary,-92.0,yes,yes,jun,1.0,0.0
40.0,blue-collar,married,secondary,188.0,yes,yes,jun,2.0,0.0
46.0,services,divorced,secondary,0.0,no,no,jun,3.0,0.0
43.0,blue-collar,single,secondary,740.0,yes,no,jun,2.0,0.0
45.0,management,married,tertiary,655.0,no,no,jun,3.0,0.0
24.0,management,married,secondary,867.0,yes,no,jun,10.0,0.0
40.0,blue-collar,married,secondary,1009.0,yes,yes,jun,5.0,0.0
38.0,services,divorced,unknown,6360.0,no,no,jun,2.0,0.0
36.0,unemployed,married,tertiary,4145.0,no,no,jun,4.0,0.0
27.0,blue-collar,single,secondary,-27.0,no,no,jun,2.0,0.0
26.0,admin.,single,primary,-122.0,yes,no,jun,3.0,0.0
43.0,management,married,tertiary,149.0,yes,no,jun,2.0,0.0
25.0,blue-collar,single,primary,52.0,yes,no,jun,2.0,0.0
27.0,blue-collar,married,tertiary,335.0,yes,no,jun,3.0,0.0
30.0,technician,married,tertiary,526.0,yes,yes,jun,3.0,0.0
28.0,admin.,single,secondary,-7.0,no,yes,jun,2.0,0.0
27.0,blue-collar,married,primary,-413.0,no,yes,jun,6.0,0.0
32.0,admin.,divorced,secondary,-241.0,no,yes,jun,2.0,0.0
41.0,blue-collar,single,secondary,75.0,yes,no,jul,9.0,0.0
37.0,technician,single,tertiary,0.0,no,no,jul,2.0,0.0
27.0,technician,single,secondary,158.0,no,no,jul,2.0,0.0
29.0,services,single,secondary,84.0,no,yes,jul,3.0,0.0
33.0,services,married,secondary,114.0,no,yes,jul,1.0,0.0
36.0,technician,married,primary,0.0,no,no,jul,1.0,0.0
28.0,blue-collar,single,secondary,-127.0,yes,no,jul,3.0,0.0
55.0,blue-collar,married,secondary,49.0,yes,no,jul,4.0,0.0
51.0,technician,married,secondary,216.0,no,no,jul,2.0,0.0
39.0,technician,single,secondary,506.0,yes,no,jul,2.0,0.0
42.0,blue-collar,divorced,primary,213.0,yes,no,jul,3.0,0.0
33.0,services,single,secondary,170.0,no,no,jul,1.0,0.0
36.0,entrepreneur,divorced,tertiary,776.0,no,yes,jul,3.0,0.0
45.0,technician,married,secondary,879.0,no,no,jul,2.0,0.0
37.0,self-employed,married,secondary,1633.0,no,no,jul,2.0,0.0
46.0,unemployed,married,secondary,926.0,no,no,jul,5.0,0.0
32.0,self-employed,single,tertiary,2559.0,no,no,jul,1.0,0.0
28.0,technician,single,secondary,909.0,no,yes,jul,1.0,0.0
45.0,admin.,divorced,secondary,-176.0,no,yes,jul,1.0,0.0
41.0,blue-collar,single,secondary,1085.0,yes,yes,jul,1.0,0.0
59.0,blue-collar,divorced,primary,1265.0,no,yes,jul,1.0,0.0
47.0,technician,single,secondary,-239.0,yes,yes,jul,3.0,0.0
31.0,blue-collar,single,secondary,726.0,no,no,jul,2.0,0.0
31.0,management,single,tertiary,296.0,no,yes,jul,4.0,0.0
33.0,entrepreneur,married,secondary,-627.0,yes,yes,jul,1.0,0.0
52.0,entrepreneur,married,tertiary,-468.0,no,no,jul,1.0,0.0
26.0,self-employed,single,secondary,551.0,no,no,jul,1.0,0.0
25.0,technician,single,secondary,0.0,no,yes,jul,1.0,0.0
25.0,blue-collar,married,secondary,101.0,no,yes,jul,3.0,0.0
28.0,blue-collar,single,secondary,517.0,no,yes,jul,1.0,0.0
33.0,entrepreneur,divorced,tertiary,37.0,no,yes,jul,1.0,0.0
45.0,management,divorced,tertiary,854.0,no,yes,jul,1.0,0.0
36.0,services,married,secondary,30.0,no,yes,jul,5.0,0.0
26.0,blue-collar,single,secondary,81.0,no,yes,jul,2.0,0.0
38.0,technician,married,secondary,0.0,no,no,jul,1.0,0.0
56.0,blue-collar,single,secondary,663.0,no,yes,jul,3.0,0.0
26.0,admin.,single,secondary,102.0,no,yes,jul,2.0,0.0
26.0,technician,married,secondary,370.0,no,yes,jul,4.0,0.0
25.0,blue-collar,single,secondary,189.0,no,yes,jul,2.0,0.0
26.0,unemployed,single,secondary,111.0,no,no,jul,1.0,0.0
40.0,blue-collar,married,primary,665.0,yes,no,jul,1.0,0.0
37.0,admin.,married,primary,214.0,yes,no,jul,1.0,0.0
43.0,blue-collar,single,primary,0.0,no,no,jul,1.0,0.0
41.0,services,divorced,tertiary,1583.0,yes,no,jul,1.0,0.0
